price,maintenance,doors,seats,storage,safety,shouldBuy
med,vhigh,3,more,small,high,acc
NaN,low,5more,4,small,low,unacc
vhigh,high,,4,med,high,unacc
med,,4,4,med,high,unacc
med,high,2,4,small,,unacc
low,high,2,2,med,low,unacc
vhigh,vhigh,3,2,med,med,unacc
vhigh,med,3,4,small,low,unacc
med,vhigh,4,4,big,high,null
high,low,3,4,small,high,unacc
med,vhigh,3,2,small,low,unacc
med,high,,2,small,med,acc
med,high,3,2,small,med,unacc
med,vhigh,5more,more,big,med,unacc
low,low,2,2,small,high,unacc
vhigh,med,3,4,med,low,unacc
low,med,5more,more,big,,acc
low,high,4,4,small,high,unacc
low,,3,2,big,low,null
med,med,3,more,small,med,unacc
high,low,4,more,small,,unacc
vhigh,med,5more,more,med,med,unacc
high,vhigh,5more,more,big,med,vgood
low,,5more,more,small,high,unacc
low,vhigh,5more,4,null,med,null
high,high,null,2,big,med,unacc
high,low,5more,more,small,high,unacc
high,,4,more,big,low,unacc
low,low,5more,more,med,low,unacc
low,high,4,more,null,high,unacc
vhigh,vhigh,,4,med,high,unacc
,high,4,4,med,low,unacc
low,low,3,4,big,low,unacc
high,vhigh,5more,4,big,med,vgood
high,vhigh,5more,4,small,,unacc
vhigh,low,4,more,med,low,unacc
low,high,3,4,small,med,unacc
,med,3,4,small,low,unacc
vhigh,high,4,more,big,high,unacc
,med,2,2,small,low,unacc
,high,5more,2,big,med,unacc
med,low,5more,more,small,low,unacc
high,high,3,more,big,low,unacc
low,,5more,2,med,med,unacc
low,low,2,more,big,high,unacc
low,low,4,more,small,low,unacc
low,vhigh,4,4,med,high,unacc
med,high,,4,big,med,unacc
,low,5more,,big,med,NaN
high,low,3,2,big,low,unacc
med,,2,more,med,med,unacc
high,low,3,more,big,low,acc
med,vhigh,4,2,big,low,unacc
low,low,2,more,big,med,unacc
med,vhigh,5more,2,big,med,unacc
low,high,2,4,big,med,unacc
low,low,5more,2,small,med,unacc
vhigh,low,4,2,small,high,unacc
med,high,4,2,med,low,acc
vhigh,high,4,2,small,high,unacc
med,null,3,more,big,med,unacc
med,vhigh,2,2,big,low,unacc
vhigh,low,2,more,med,high,unacc
vhigh,low,2,4,big,med,acc
med,med,5more,4,big,high,acc
high,med,3,more,small,low,unacc
low,low,3,more,small,high,unacc
vhigh,vhigh,3,more,small,low,acc
,vhigh,3,4,big,med,good
high,med,3,4,small,med,good
high,med,5more,2,big,med,unacc
high,med,2,2,big,high,unacc
vhigh,med,3,2,med,low,unacc
high,med,null,2,small,high,acc
vhigh,high,4,more,med,high,unacc
high,low,4,4,med,high,acc
low,low,NaN,2,big,low,unacc
low,med,4,2,small,med,acc
med,null,null,4,big,high,acc
low,low,5more,2,small,low,unacc
med,high,2,more,big,low,unacc
low,high,5more,2,big,low,unacc
vhigh,vhigh,5more,2,med,high,unacc
low,vhigh,5more,4,small,NaN,unacc
med,med,4,2,med,med,unacc
med,vhigh,3,more,med,low,unacc
high,med,4,2,med,high,good
vhigh,vhigh,4,more,big,low,unacc
low,low,5more,4,med,med,acc
high,low,5more,2,small,,unacc
low,vhigh,5more,2,big,,acc
low,low,2,2,med,null,unacc
high,low,2,more,big,med,unacc
high,null,NaN,2,med,high,unacc
high,low,4,more,big,low,unacc
high,vhigh,4,4,big,med,unacc
high,low,5more,4,med,high,unacc
low,med,5more,2,small,high,vgood
high,vhigh,4,2,small,med,acc
vhigh,med,,2,small,high,acc
med,low,3,more,small,,unacc
high,low,3,2,med,high,acc
high,low,2,more,small,low,unacc
low,high,2,2,med,high,unacc
null,med,5more,more,big,med,unacc
high,vhigh,3,more,big,high,unacc
high,low,2,4,big,high,unacc
low,high,2,more,small,low,unacc
high,high,5more,2,med,low,good
,med,3,more,big,high,acc
low,low,2,4,small,med,acc
med,med,5more,2,small,high,good
low,,2,more,med,low,unacc
high,low,3,4,big,low,acc
med,low,3,more,big,med,unacc
low,high,3,4,med,high,unacc
vhigh,med,4,more,small,low,unacc
high,med,3,4,small,high,unacc
low,med,4,2,med,high,unacc
vhigh,vhigh,5more,4,small,high,unacc
low,vhigh,5more,more,med,low,acc
vhigh,high,2,more,big,med,acc
high,high,5more,,small,med,unacc
med,high,4,more,med,high,unacc
vhigh,med,,4,small,med,acc
low,med,5more,2,med,med,unacc
high,low,2,2,small,high,unacc
vhigh,med,5more,2,med,med,unacc
low,high,3,4,big,med,unacc
low,high,2,2,med,med,unacc
low,low,2,2,med,med,unacc
vhigh,vhigh,5more,2,med,med,acc
vhigh,med,2,4,med,low,acc
vhigh,med,4,4,small,med,unacc
med,vhigh,3,more,big,high,acc
,high,4,more,big,low,good
vhigh,high,null,more,,med,unacc
vhigh,high,2,4,big,low,good
med,med,5more,2,,med,vgood
vhigh,vhigh,4,more,big,med,unacc
low,vhigh,4,4,small,med,acc
vhigh,high,4,4,med,low,unacc
low,med,,4,small,high,unacc
low,vhigh,5more,more,big,med,unacc
low,med,2,more,small,low,unacc
med,low,3,more,small,low,unacc
,high,3,4,small,med,unacc
med,high,5more,more,big,med,unacc
vhigh,low,3,4,big,high,unacc
low,vhigh,2,4,small,high,unacc
med,high,2,2,big,low,unacc
med,vhigh,4,4,big,med,unacc
vhigh,high,5more,2,big,low,unacc
med,low,2,2,med,high,unacc
null,low,4,more,big,med,acc
high,vhigh,4,more,big,med,unacc
med,high,4,4,big,high,
high,high,2,more,big,med,unacc
,med,3,2,,low,unacc
low,med,5more,4,small,med,
med,high,5more,2,small,low,acc
vhigh,vhigh,5more,more,med,low,unacc
NaN,low,4,4,med,med,unacc
low,high,2,more,med,low,acc
high,med,3,more,big,high,unacc
vhigh,low,2,null,small,high,unacc
null,vhigh,5more,more,med,med,
med,high,2,null,med,med,acc
,high,3,4,small,low,acc
high,low,5more,more,small,low,unacc
NaN,low,4,2,big,low,unacc
vhigh,med,5more,4,med,high,unacc
med,vhigh,4,more,,low,acc
low,low,NaN,,big,med,unacc
low,vhigh,3,,big,low,unacc
high,vhigh,5more,more,med,high,null
med,high,3,2,big,high,unacc
med,low,2,2,small,med,unacc
vhigh,low,3,4,big,med,unacc
med,med,5more,4,small,low,acc
vhigh,high,3,2,small,high,acc
med,low,5more,more,med,high,
high,low,3,more,small,med,acc
med,med,4,4,big,low,unacc
,med,2,,small,low,unacc
NaN,vhigh,2,more,small,med,
high,,5more,2,small,low,unacc
,,,4,small,med,unacc
med,med,5more,4,big,high,unacc
high,low,3,2,big,med,unacc
med,low,2,4,small,null,unacc
med,med,2,more,small,low,acc
vhigh,vhigh,2,4,big,med,vgood
med,vhigh,2,2,big,low,unacc
,med,2,2,small,med,unacc
high,,5more,more,small,med,unacc
high,high,4,more,small,high,unacc
low,null,5more,4,small,high,unacc
vhigh,high,2,more,big,high,unacc
med,low,3,more,med,high,unacc
med,med,5more,,med,null,acc
low,vhigh,4,2,big,med,unacc
med,vhigh,2,more,med,med,unacc
vhigh,low,3,2,big,high,unacc
low,med,4,4,med,high,acc
vhigh,vhigh,null,4,big,med,vgood
low,low,4,4,med,med,acc
low,vhigh,2,2,small,high,
high,high,3,,med,low,acc
vhigh,vhigh,5more,more,big,low,unacc
med,low,2,more,big,low,unacc
med,high,2,2,med,low,unacc
vhigh,vhigh,3,more,med,med,unacc
med,vhigh,2,4,small,med,acc
med,med,5more,more,big,high,unacc
vhigh,med,null,more,big,med,unacc
low,vhigh,5more,more,med,high,unacc
vhigh,high,5more,2,small,med,unacc
low,med,5more,more,med,high,acc
med,med,2,2,big,high,acc
,med,3,4,big,low,unacc
med,low,4,2,big,low,unacc
high,vhigh,5more,more,med,med,NaN
low,high,4,more,big,high,acc
high,high,5more,more,big,med,unacc
high,vhigh,5more,NaN,small,med,acc
vhigh,med,5more,4,small,low,NaN
high,high,4,4,small,high,unacc
vhigh,low,2,4,med,high,unacc
vhigh,low,2,4,big,high,unacc
high,high,5more,more,med,low,unacc
low,low,5more,2,small,high,unacc
low,vhigh,5more,more,small,med,unacc
low,low,3,2,big,med,unacc
low,low,2,,med,med,unacc
low,high,5more,more,small,med,unacc
high,low,5more,2,med,high,acc
high,high,5more,2,small,low,unacc
med,med,3,4,big,low,unacc
low,med,5more,more,small,low,unacc
high,low,4,2,med,high,acc
med,med,3,4,small,low,unacc
low,high,4,4,small,low,null
vhigh,med,4,more,med,low,acc
med,vhigh,2,2,,med,unacc
high,med,2,4,big,low,good
vhigh,med,5more,4,big,high,acc
vhigh,,4,4,med,med,unacc
vhigh,med,4,4,med,high,unacc
med,low,5more,2,small,high,unacc
high,vhigh,5more,more,small,high,unacc
vhigh,med,3,2,small,med,unacc
low,med,5more,2,big,low,unacc
vhigh,low,5more,4,small,null,vgood
vhigh,null,3,2,med,high,unacc
med,vhigh,2,4,big,high,unacc
med,med,4,more,small,med,acc
high,NaN,2,2,big,low,unacc
low,vhigh,3,4,small,high,unacc
med,vhigh,2,more,small,low,unacc
vhigh,high,4,more,big,low,unacc
high,vhigh,4,more,small,high,unacc
vhigh,vhigh,null,2,med,,unacc
vhigh,high,5more,4,big,,unacc
med,med,4,more,med,med,unacc
high,high,5more,2,med,med,acc
low,low,5more,4,big,high,unacc
low,NaN,5more,more,small,med,unacc
med,med,4,4,small,high,unacc
med,low,3,4,small,high,unacc
high,low,2,2,small,med,unacc
low,vhigh,5more,,med,low,unacc
low,vhigh,2,more,med,null,unacc
low,med,5more,2,med,low,acc
NaN,low,NaN,2,big,low,unacc
low,low,5more,4,med,null,unacc
vhigh,high,5more,more,small,med,unacc
high,vhigh,5more,2,med,high,acc
vhigh,high,5more,more,big,,unacc
high,low,3,4,med,low,acc
low,med,,4,med,med,unacc
low,low,3,4,med,med,unacc
high,med,5more,2,med,high,acc
med,med,5more,2,med,med,unacc
high,high,2,more,big,high,acc
med,low,2,more,,med,unacc
vhigh,high,3,4,,low,unacc
vhigh,low,5more,NaN,small,high,good
vhigh,med,5more,more,NaN,low,unacc
low,vhigh,2,more,med,low,unacc
vhigh,low,5more,2,small,high,unacc
med,med,2,null,big,med,vgood
vhigh,vhigh,5more,2,big,med,unacc
high,low,4,,med,low,unacc
high,vhigh,3,more,big,med,acc
low,low,5more,null,big,high,unacc
high,low,2,more,big,low,unacc
med,vhigh,3,4,small,med,acc
vhigh,high,2,2,big,low,unacc
low,vhigh,,2,med,low,unacc
vhigh,vhigh,4,more,big,low,unacc
vhigh,med,3,,med,med,acc
med,vhigh,5more,2,NaN,low,unacc
high,low,4,4,,med,unacc
high,low,5more,4,med,low,null
vhigh,vhigh,4,more,small,,good
low,med,5more,more,small,med,unacc
high,low,2,more,small,low,acc
,high,3,2,small,med,unacc
high,vhigh,2,more,med,low,unacc
low,high,,more,big,low,unacc
med,med,5more,more,big,,unacc
low,high,4,4,small,low,unacc
med,vhigh,4,2,med,low,unacc
med,high,null,null,NaN,high,unacc
low,low,3,2,med,low,unacc
med,,2,more,med,high,unacc
